Company,Position,Location,Tags,Description,URL,Salary_Min,Salary_Max,Date,ID
Not Disclosed,Software Engineer,"Irvine, Orange County",,"Job Description Job Description We are looking for an outstanding software engineer to join our team at our Irvine office. A degree from a reputable university is required in computer science or computer engineering. Candidates should be strong object oriented developers and comfortable developing in Java, C#, MVC, SQL, and .NET. Because we develop web applications, JavaScript proficiency is also necessary. If you are a team player who is looking for a career opportunity this is an ideal positi…",https://www.adzuna.com/land/ad/5567646837?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=24ADB89B2CE3188AE70917C03A49A3F26ED44B81,105084.9,105084.9,2026-01-05T00:45:43Z,5567646837
HARBOR OBJECTS,Software Engineer,"Irvine, Orange County",,"Job Description Job Description HarborObjects is seeking a capable and enthusiastic senior .NET and/or Java Developer to join us as a senior member of our software development and consulting team. The candidate must be able to work effectively in conjunction with both internal and external teams, as well as independently and with minimal supervision. Enthusiasm and flexibility in working on a variety of projects are necessary. Occasionally performing work at customer sites around Southern Calif…",https://www.adzuna.com/land/ad/5567648308?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=F1DC4D9B3F718A770DF74195E4EB7BED37573240,112468.91,112468.91,2026-01-05T00:51:17Z,5567648308
Lockheed Martin,Software Engineer,"Hanover, Anne Arundel County",,"At Lockheed Martin, we are pioneering advancements in the realms of Information Technology and Cybersecurity with a focus on delivering high-quality solutions for our diverse client base in defense and technology sectors. We seek a highly skilled Software Engineer to join our innovative team that upholds high ethical standards, inclusivity, and promotes a culture of teamwork. This role involves the development, design, and implementation of software systems that are critical to the security and…",https://www.adzuna.com/land/ad/5591349286?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=2E6A7EB40A83CD82A89C9AA5DAA7279CDF108BC1,104779.78,104779.78,2026-01-19T12:39:38Z,5591349286
Lockheed Martin,Software Engineer,"Savage, Anne Arundel County",,"At Lockheed Martin, we are pioneering advancements in the realms of Information Technology and Cybersecurity with a focus on delivering high-quality solutions for our diverse client base in defense and technology sectors. We seek a highly skilled Software Engineer to join our innovative team that upholds high ethical standards, inclusivity, and promotes a culture of teamwork. This role involves the development, design, and implementation of software systems that are critical to the security and…",https://www.adzuna.com/land/ad/5591595361?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=85E5951650F0A3277BDDD081409C0E73142AD510,117945.57,117945.57,2026-01-19T15:03:03Z,5591595361
Lockheed Martin,Software Engineer,"Savage, Anne Arundel County",,"Lockheed Martin, a leader in the Defense & Aerospace industry, is seeking a talented Software Engineer to join our dynamic IT and Cybersecurity team. In this role, you will work on cutting-edge projects related to the research, design, development, and integration of software applications that support our advanced technology systems. As a part of our team, you will contribute to projects that are critical to national security and innovation. At Lockheed Martin, we value a culture that promotes …",https://www.adzuna.com/land/ad/5591551121?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=CCF3B5FF16240D13DB2121C9DCEEC4969A8E9CDB,125273.97,125273.97,2026-01-19T14:29:46Z,5591551121
Transcepta,Sr. Software Engineer,"Aliso Viejo, Orange County",,"Job Description Job Description With a rapidly growing customer base, Transcepta is adding a Software Engineer to our SaaS development team. This position will report to the Director of Engineering and develop REST services for Transcepta’s flagship SaaS solution. Transcepta is migrating its SaaS solution to a REST web-services backend and a frontend built on a responsive framework. We are looking for someone who’s excited about high throughput SaaS solutions and has a passion to architect them…",https://www.adzuna.com/land/ad/5568252671?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=4624A2DFC2FDE88A1BE10B0513137892F665BC84,153826.64,153826.64,2026-01-05T12:48:47Z,5568252671
"TalentBurst, Inc.",Software Engineer II,"San Diego, San Diego County",,"Job Description Job Description Job Title: AI SW Integration Engineer Posting Location: San Diego, California Duration : 6 Months Position Summary: The scope of this role focuses on developing integration and automation solutions to streamline engineering and validation workflows across multiple teams. The ideal candidate will build backend tools and services that automate test generation, improve requirements traceability, and optimize team workflows. Contract Timeline: This position is for 4 …",https://www.adzuna.com/land/ad/5589191712?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=4BA4BDA6F13F590674BF2B4DF141422891FE2800,108826.52,108826.52,2026-01-17T08:49:49Z,5589191712
Lockheed Martin,Cyber Software Engineer,"Hanover, Anne Arundel County",,"Lockheed Martin, a leader in advanced technology systems and services for the Aerospace & Defense industry, is seeking a qualified Cyber Software Engineer to join our dynamic IT and Cybersecurity team. As a Cyber Software Engineer, you will be integral in developing security solutions for mission-critical systems designed to protect and enhance our nation's defense capabilities. This role requires collaborating closely with multi-disciplinary teams, thinking creatively about complex problems, a…",https://www.adzuna.com/land/ad/5591683333?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=42A46F40CAF499821588889BAD599E07E35ED9B7,106513.29,106513.29,2026-01-19T15:59:17Z,5591683333
Lockheed Martin,Modernization Software Engineer,"Hanover, Anne Arundel County",,"Lockheed Martin, a leader in global aerospace, defense, security, and advanced technologies, is seeking a skilled Modernization Software Engineer to join our IT & Cybersecurity team. This role focuses on upgrading and refining our software systems and applications, ensuring they meet the cutting-edge needs of national and global security. As a part of our team, you will work in an inclusive, ethical environment that values teamwork and innovative thinking, contributing to the development, integ…",https://www.adzuna.com/land/ad/5591569164?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=5A9FBDCE8E64C7E4D866EC505FE98A6B93628D24,130642.65,130642.65,2026-01-19T14:47:32Z,5591569164
Lockheed Martin,Principal Software Engineer,"Hanover, Anne Arundel County",,"Lockheed Martin, a leader in global aerospace, defense, security, and technologies, is seeking a seasoned Principal Software Engineer to join our dynamic IT and Cybersecurity team. In this role, you will leverage your extensive expertise to develop and maintain cutting-edge software solutions that support our mission-critical systems. You will work in a collaborative environment that values innovation, ethical standards, and inclusivity, driving projects that integrate sophisticated technology …",https://www.adzuna.com/land/ad/5591357170?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=E1563E685ED9285B7086B1F40B7FB2E27D28933F,129040.97,129040.97,2026-01-19T13:15:19Z,5591357170
