Company,Position,Location,Tags,Description,URL,Salary_Min,Salary_Max,Date,ID
Procter & Gamble,AI Engineer,"Saint Bernard, Hamilton County",,"Job Location CINCINNATI GENERAL OFFICES Job Description Are you a ML/AI Engineer experienced in Python and data processing who wants to work on scaling and operationalization of large-scale AI use cases? Hoping to work in a highly innovative area, constantly challenging the status quo? Is simply applying best practices is not enough for you because you'd rather actively craft them? If, so come and join our AI Engineering organization as an Artificial Intelligence Engineer! Help us make use of t…",https://www.adzuna.com/land/ad/5594910334?se=eP5aj9v48BGsd-RaNSTYUQ&utm_medium=api&utm_source=ede2e44c&v=559423384F6101EC1F02F2944BD67C017C0A67E5,123462.75,123462.75,2026-01-21T19:50:28Z,5594910334
Battelle Memorial Institute,AI Engineer,"Grandview Heights, Franklin County",,"Battelle delivers when others can't. We conduct research and development, manage national laboratories, design and manufacture products and deliver critical services for our clients-whether they are a multi-national corporation, a small start-up or a government agency. We recognize and appreciate the value and contributions of individuals from a wide range of backgrounds and experiences and welcome all qualified individuals to apply. Job Summary Battelle is currently seeking an AI Engineer to d…",https://www.adzuna.com/land/ad/5574832732?se=eP5aj9v48BGsd-RaNSTYUQ&utm_medium=api&utm_source=ede2e44c&v=86BED5843779CDE970716963BA1872A057FE36D2,151325.86,151325.86,2026-01-08T19:26:12Z,5574832732
Insight Global,AI Engineer,"Beach, Orange County",,"Job Description Overview: Insight Global is seeking a hands-on AI Engineer to design, build, and deploy AI/ML solutions using LLMs, generative AI, and modern ML frameworks. This role focuses on developing production-ready models, RAG pipelines, and automation that improve business operations. Responsibilities: - Design and develop Generative AI and LLM-based models for text, audio, and chatbot use cases. - Build RAG pipelines using vector databases, embeddings, chunking, indexing, and retrieval…",https://www.adzuna.com/land/ad/5589811370?se=eP5aj9v48BGsd-RaNSTYUQ&utm_medium=api&utm_source=ede2e44c&v=4D5FB2D087A6C1849B745709DAE30BE5ED8F1C40,112243.79,112243.79,2026-01-17T16:02:31Z,5589811370
Robert Half,AI Engineer,"Shakopee, Scott County",,"Description We are looking for a skilled AI Engineer to join our team. In this role, you will design, develop, and implement advanced AI-driven solutions to address complex business challenges. You will work on a variety of projects, including predictive analytics, intelligent automation, and machine learning model integration, while contributing to the development of scalable AI infrastructure. Responsibilities: - Develop and deploy AI models and algorithms to solve business problems effective…",https://www.adzuna.com/land/ad/5574866379?se=eP5aj9v48BGsd-RaNSTYUQ&utm_medium=api&utm_source=ede2e44c&v=5A2E60AA19E3133DD26A0705359A3821D4A00001,114267.28,114267.28,2026-01-08T19:30:55Z,5574866379
Eliassen Group,AI Engineer,"Montpelier, Washington County",,"AI Engineer Anywhere Type: Contract-to-Hire Category: Development Industry: Government Workplace Type: Remote Reference ID: JN -012026-105016 Date Posted: 01/13/2026 Shortcut: http://careers.eliassen.com/CHO8zj Description Recommended Jobs Description: _Remote_ Our client seeks an innovative, hands-on AI Engineer to develop prototypes that solve business problems and integrate AI, ML, and NLP solutions within cloud native environments. The role emphasizes prompt engineering for LLM refinement…",https://www.adzuna.com/land/ad/5588719407?se=eP5aj9v48BGsd-RaNSTYUQ&utm_medium=api&utm_source=ede2e44c&v=ECCAFDF2F80F40FFC8D49B16D5033DA30271F45C,97694.19,97694.19,2026-01-16T20:08:10Z,5588719407
Eliassen Group,AI Engineer,"Madison, Dane County",,"AI Engineer Anywhere Type: Contract-to-Hire Category: Development Industry: Government Workplace Type: Remote Reference ID: JN -012026-105016 Date Posted: 01/13/2026 Shortcut: http://careers.eliassen.com/CHO8zj Description Recommended Jobs Description: _Remote_ Our client seeks an innovative, hands-on AI Engineer to develop prototypes that solve business problems and integrate AI, ML, and NLP solutions within cloud native environments. The role emphasizes prompt engineering for LLM refinement…",https://www.adzuna.com/land/ad/5588815066?se=eP5aj9v48BGsd-RaNSTYUQ&utm_medium=api&utm_source=ede2e44c&v=F33E3FCAA0770CA133220B1DDA77CFBEFDC2F425,101751.97,101751.97,2026-01-16T22:53:23Z,5588815066
Eliassen Group,AI Engineer,"Tumwater, Thurston County",,"AI Engineer Anywhere Type: Contract-to-Hire Category: Development Industry: Government Workplace Type: Remote Reference ID: JN -012026-105016 Date Posted: 01/13/2026 Shortcut: http://careers.eliassen.com/CHO8zj Description Recommended Jobs Description: _Remote_ Our client seeks an innovative, hands-on AI Engineer to develop prototypes that solve business problems and integrate AI, ML, and NLP solutions within cloud native environments. The role emphasizes prompt engineering for LLM refinement…",https://www.adzuna.com/land/ad/5588802287?se=eP5aj9v48BGsd-RaNSTYUQ&utm_medium=api&utm_source=ede2e44c&v=126D44C3FD044DEFA714C882FE0BF489580B8C09,101286.67,101286.67,2026-01-16T22:39:33Z,5588802287
Eliassen Group,AI Engineer,"Charleston, Kanawha County",,"AI Engineer Anywhere Type: Contract-to-Hire Category: Development Industry: Government Workplace Type: Remote Reference ID: JN -012026-105016 Date Posted: 01/13/2026 Shortcut: http://careers.eliassen.com/CHO8zj Description Recommended Jobs Description: _Remote_ Our client seeks an innovative, hands-on AI Engineer to develop prototypes that solve business problems and integrate AI, ML, and NLP solutions within cloud native environments. The role emphasizes prompt engineering for LLM refinement…",https://www.adzuna.com/land/ad/5588720797?se=eP5aj9v48BGsd-RaNSTYUQ&utm_medium=api&utm_source=ede2e44c&v=788D333C8032B3DF04A389EF9E0FFFF54674CB30,107726.8,107726.8,2026-01-16T20:10:23Z,5588720797
Eliassen Group,AI Engineer,"Edgewood, Richland County",,"AI Engineer Anywhere Type: Contract-to-Hire Category: Development Industry: Government Workplace Type: Remote Reference ID: JN -012026-105016 Date Posted: 01/13/2026 Shortcut: http://careers.eliassen.com/CHO8zj Description Recommended Jobs Description: _Remote_ Our client seeks an innovative, hands-on AI Engineer to develop prototypes that solve business problems and integrate AI, ML, and NLP solutions within cloud native environments. The role emphasizes prompt engineering for LLM refinement…",https://www.adzuna.com/land/ad/5588613959?se=eP5aj9v48BGsd-RaNSTYUQ&utm_medium=api&utm_source=ede2e44c&v=8730698E9D5912805BD5648BAAE068F2D40E4C5C,99239.08,99239.08,2026-01-16T19:23:04Z,5588613959
Eliassen Group,AI Engineer,"Des Moines, Polk County",,"AI Engineer Anywhere Type: Contract-to-Hire Category: Development Industry: Government Workplace Type: Remote Reference ID: JN -012026-105016 Date Posted: 01/13/2026 Shortcut: http://careers.eliassen.com/CHO8zj Description Recommended Jobs Description: _Remote_ Our client seeks an innovative, hands-on AI Engineer to develop prototypes that solve business problems and integrate AI, ML, and NLP solutions within cloud native environments. The role emphasizes prompt engineering for LLM refinement…",https://www.adzuna.com/land/ad/5588613409?se=eP5aj9v48BGsd-RaNSTYUQ&utm_medium=api&utm_source=ede2e44c&v=F11DC94462709D86B182823B18AFE7B17BAC6F06,96807.91,96807.91,2026-01-16T19:22:39Z,5588613409
